Team_Year,Games,Wins,Losses,Fumbles_Recovered,Defensive_Rank,Defensive_Plays,Yards_Allowed,Total_TDs_Allowed,Avg_Sacks_Per_Game,Offensive_Rank
Akron (MAC)_2013,12,5,7,6,59,865,4764,44,2.25,106
Alabama (SEC)_2013,13,11,2,8,5,771,3725,23,1.31,33
Arizona (Pac-12)_2013,13,8,5,4,62,991,5214,39,1.31,31
Arizona St. (Pac-12)_2013,14,10,4,12,42,942,5213,48,2.93,32
Arkansas (SEC)_2013,12,3,9,6,76,814,4961,49,0.67,99
Arkansas St. (Sun Belt)_2013,13,8,5,12,74,929,5370,43,2.23,65
Army West Point (FBS Independent)_2013,12,3,9,9,71,753,4930,49,1.42,79
Auburn (SEC)_2013,14,12,2,6,86,989,5890,41,1.29,11
Ball St. (MAC)_2013,13,10,3,18,77,965,5380,39,1.23,19
Baylor (Big 12)_2013,13,11,2,10,28,986,4684,41,1.69,1
Boston College (ACC)_2013,13,7,6,11,92,941,5577,48,1.69,92
Bowling Green (MAC)_2013,14,10,4,13,10,890,4500,29,2.93,29
Buffalo (MAC)_2013,13,8,5,14,49,890,4976,40,1.54,77
BYU (FBS Independent)_2013,13,8,5,10,47,1028,4925,33,2.92,14
California (Pac-12)_2013,12,1,11,8,122,898,6355,72,3,34
Central Mich. (MAC)_2013,12,6,6,8,66,831,4862,43,2.58,108
Cincinnati (AAC)_2013,13,9,4,8,9,861,4103,34,1.31,23
Clemson (ACC)_2013,13,11,2,12,25,921,4637,37,2.69,10
Colorado (Pac-12)_2013,12,4,8,11,106,924,5616,58,1.67,87
Duke (ACC)_2013,14,10,4,8,82,1033,5852,48,1.21,47
East Carolina (C-USA)_2013,13,10,3,6,36,979,4794,39,2.31,25
Eastern Mich. (MAC)_2013,12,2,10,4,118,806,6130,71,2.33,109
FIU (C-USA)_2013,12,1,11,7,94,784,5156,57,4.33,123
Fla. Atlantic (C-USA)_2013,12,6,6,6,11,801,3911,32,2.17,82
Florida (SEC)_2013,12,4,8,8,8,712,3771,27,2.25,113
Florida St. (ACC)_2013,14,14,0,9,3,963,3940,21,2.36,6
Georgia (SEC)_2013,13,8,5,8,45,902,4882,47,1.69,17
Georgia Tech (ACC)_2013,13,7,6,6,27,849,4683,38,1.08,44
Houston (AAC)_2013,13,8,5,18,79,1034,5405,34,2.23,55
Idaho (FBS Independent)_2013,12,1,11,9,121,917,6353,76,4.42,90
Illinois (Big Ten)_2013,12,4,8,8,110,867,5778,55,2.5,46
Indiana (Big Ten)_2013,12,5,7,10,120,940,6335,63,1.5,9
Iowa (Big Ten)_2013,13,8,5,8,6,861,3940,30,1.15,84
Iowa St. (Big 12)_2013,12,3,9,13,105,918,5557,56,3.17,96
Kansas (Big 12)_2013,12,3,9,10,96,892,5191,48,2.5,117
Kansas St. (Big 12)_2013,13,8,5,8,26,919,4665,35,2,71
Kent St. (MAC)_2013,12,4,8,4,70,813,4919,40,1.17,88
Kentucky (SEC)_2013,12,2,10,12,91,819,5126,49,3.08,107
La.-Monroe (Sun Belt)_2013,12,6,6,6,90,880,5122,46,2.25,98
Louisiana (Sun Belt)_2013,13,9,4,9,56,888,5116,43,2.08,56
Louisiana Tech (C-USA)_2013,12,4,8,8,69,925,4899,39,2.5,94
Louisville (AAC)_2013,13,12,1,11,1,779,3269,18,2,28
LSU (SEC)_2013,13,10,3,8,15,872,4429,32,1.92,35
Marshall (C-USA)_2013,14,10,4,8,35,1053,5160,40,1.86,12
Maryland (ACC)_2013,13,7,6,10,44,957,4867,38,2.08,75
Massachusetts (MAC)_2013,12,1,11,11,98,788,5199,50,1.33,120
Memphis (AAC)_2013,12,3,9,7,39,857,4448,37,2.33,116
Miami (FL) (ACC)_2013,13,9,4,9,89,964,5543,43,1.31,48
Miami (OH) (MAC)_2013,12,0,12,8,113,915,5811,55,4.17,122
Michigan (Big Ten)_2013,13,7,6,9,41,912,4829,40,2.77,86
Michigan St. (Big Ten)_2013,14,13,1,11,2,873,3531,21,1.21,80
Middle Tenn. (C-USA)_2013,13,8,5,18,63,987,5235,43,1.23,66
Minnesota (Big Ten)_2013,13,8,5,9,43,858,4852,36,2.08,105
Mississippi St. (SEC)_2013,13,7,6,11,18,833,4541,36,1.77,42
Missouri (SEC)_2013,14,12,2,12,81,1080,5848,39,1.93,16
Navy (FBS Independent)_2013,13,9,4,9,57,908,5132,41,1.38,61
NC State (ACC)_2013,12,3,9,9,61,814,4793,48,3,70
Nebraska (Big Ten)_2013,13,9,4,4,40,926,4820,38,1.31,58
New Mexico St. (FBS Independent)_2013,12,2,10,10,123,862,6594,71,2.08,81
North Carolina (ACC)_2013,13,7,6,7,64,993,5241,38,1.62,49
North Texas (C-USA)_2013,13,9,4,16,17,881,4528,30,0.85,63
Northern Ill. (MAC)_2013,14,12,2,11,78,1068,5808,43,0.79,5
Northwestern (Big Ten)_2013,12,5,7,4,88,930,5082,40,3,73
Notre Dame (FBS Independent)_2013,13,9,4,4,31,930,4760,34,0.62,67
Ohio (MAC)_2013,13,7,6,8,67,918,5276,46,1.46,83
Ohio St. (Big Ten)_2013,14,12,2,8,46,1000,5284,42,1.57,7
Oklahoma (Big 12)_2013,13,11,2,8,20,846,4552,36,1.15,52
Oklahoma St. (Big 12)_2013,13,10,3,12,52,1049,5004,33,1.08,37
Ole Miss ()_2013,13,8,5,9,38,917,4816,38,2.08,21
Oregon (Pac-12)_2013,13,11,2,11,37,1042,4811,32,1.38,2
Oregon St. (Pac-12)_2013,13,7,6,10,100,924,5676,51,1.92,26
Penn St. (Big Ten)_2013,12,7,5,7,48,864,4576,38,1.83,43
Pittsburgh (ACC)_2013,13,7,6,8,34,865,4778,43,3.31,97
Purdue (Big Ten)_2013,12,1,11,6,104,886,5519,61,3.17,119
Rice (C-USA)_2013,14,10,4,12,30,957,5097,43,2.64,68
Rutgers (AAC)_2013,13,6,7,10,73,944,5366,49,2.69,95
SMU (AAC)_2013,12,5,7,6,72,887,4951,54,3.17,41
South Alabama (Sun Belt)_2013,12,6,6,7,50,820,4611,36,1.42,50
South Carolina (SEC)_2013,13,11,2,12,19,833,4550,32,1.77,36
South Fla. (AAC)_2013,12,2,10,13,21,777,4209,43,2.75,121
Southern California (Pac-12)_2013,14,10,4,5,13,942,4693,39,2.43,72
Southern Miss. (C-USA)_2013,12,1,11,13,99,890,5226,68,3,114
Stanford (Pac-12)_2013,14,11,3,6,16,989,4804,31,1.14,69
Syracuse (ACC)_2013,13,7,6,9,33,897,4773,42,1.38,85
TCU (Big 12)_2013,12,4,8,9,24,886,4277,33,1.92,104
Temple (AAC)_2013,12,2,10,10,108,888,5683,42,2.67,74
Tennessee (SEC)_2013,12,5,7,11,83,827,5021,46,1.25,102
Texas (Big 12)_2013,13,8,5,16,68,966,5294,39,1.23,64
Texas A&M (SEC)_2013,13,9,4,5,109,973,6185,55,1.62,4
Texas St. (Sun Belt)_2013,12,6,6,8,58,880,4760,41,1.75,111
Texas Tech (Big 12)_2013,13,8,5,11,84,1015,5441,51,2.54,8
Toledo (MAC)_2013,12,7,5,12,87,870,5061,45,0.5,39
Troy (Sun Belt)_2013,12,6,6,5,112,869,5798,58,1.67,27
Tulane (C-USA)_2013,13,7,6,16,22,931,4577,33,2.46,115
Tulsa (C-USA)_2013,12,3,9,9,93,934,5155,52,0.83,100
UAB (C-USA)_2013,12,2,10,7,116,829,5974,71,2.17,78
UCF (AAC)_2013,13,12,1,12,29,879,4706,36,1.69,40
UCLA (Pac-12)_2013,13,10,3,12,54,990,5032,37,2.77,38
UConn (AAC)_2013,12,3,9,11,51,836,4615,46,3.5,112
Utah (Pac-12)_2013,12,5,7,12,60,887,4772,41,1.92,76
UTEP (C-USA)_2013,12,2,10,9,107,756,5620,62,2.25,103
Vanderbilt (SEC)_2013,13,9,4,11,23,909,4612,40,2.54,93
Virginia (ACC)_2013,12,2,10,11,65,856,4843,51,2,89
Virginia Tech (ACC)_2013,13,8,5,7,4,810,3687,31,2.54,101
Wake Forest (ACC)_2013,12,4,8,9,32,878,4394,36,2.08,118
Washington (Pac-12)_2013,13,9,4,7,55,1015,5051,37,2.31,13
Washington St. (Pac-12)_2013,13,6,7,14,102,1006,5954,52,2.46,54
West Virginia (Big 12)_2013,12,4,8,16,101,920,5460,48,2.33,62
Western Ky. (Sun Belt)_2013,12,8,4,7,14,763,4070,37,1.67,30
Western Mich. (MAC)_2013,12,1,11,10,85,865,5030,55,1.83,110
Wisconsin (Big Ten)_2013,13,9,4,11,7,839,3966,25,1.23,18
Akron (MAC)_2014,12,5,7,11,44,859,4453,35,2,88
Alabama (SEC)_2014,14,12,2,9,12,945,4598,27,1.14,17
Arizona (Pac-12)_2014,14,10,4,13,103,1115,6314,49,2.86,25
Arizona St. (Pac-12)_2014,13,10,3,13,81,964,5422,46,3,34
Arkansas (SEC)_2014,13,7,6,12,10,821,4204,33,1.08,60
Arkansas St. (Sun Belt)_2014,13,7,6,12,83,975,5476,54,2.38,20
Army West Point (FBS Independent)_2014,12,4,8,4,90,798,5170,50,1.33,102
Auburn (SEC)_2014,13,8,5,5,64,914,5185,45,1.15,16
Ball St. (MAC)_2014,12,5,7,14,86,877,5146,42,1.08,92
Baylor (Big 12)_2014,13,11,2,13,50,941,4964,43,1.85,1
Boston College (ACC)_2014,13,7,6,5,11,822,4215,34,1.62,80
Bowling Green (MAC)_2014,14,8,6,17,115,1156,6910,62,2,41
Buffalo (MAC)_2014,11,5,6,13,62,746,4375,47,1.45,38
BYU (FBS Independent)_2014,13,8,5,12,56,1032,5090,44,2.77,26
California (Pac-12)_2014,12,5,7,5,121,980,6141,63,2.33,13
Central Mich. (MAC)_2014,13,7,6,8,29,849,4621,40,2.15,67
Cincinnati (AAC)_2014,13,9,4,16,96,955,5708,42,1.38,27
Clemson (ACC)_2014,13,10,3,12,1,841,3390,27,2.08,58
Colorado (Pac-12)_2014,12,2,10,8,111,845,5532,60,1.92,37
Duke (ACC)_2014,13,9,4,10,67,985,5196,34,1,66
East Carolina (AAC)_2014,13,8,5,5,37,937,4775,41,2.46,5
Eastern Mich. (MAC)_2014,12,2,10,6,118,887,5985,65,2.92,121
FIU (C-USA)_2014,12,4,8,19,35,812,4365,37,3.33,120
Fla. Atlantic (C-USA)_2014,12,3,9,7,110,887,5529,53,1.75,101
Florida (SEC)_2014,12,7,5,14,15,869,3957,30,1.42,93
Florida St. (ACC)_2014,14,13,1,12,61,1008,5557,44,1.64,35
Georgia (SEC)_2014,13,10,3,13,17,905,4384,36,1.31,28
Georgia St. (Sun Belt)_2014,12,1,11,5,116,908,5965,67,2.58,85
Georgia Tech (ACC)_2014,14,11,3,11,79,911,5758,44,0.79,19
Houston (AAC)_2014,13,8,5,11,20,915,4464,33,2.62,55
Idaho (Sun Belt)_2014,11,1,10,9,112,734,5090,54,3.73,53
Illinois (Big Ten)_2014,13,6,7,12,109,987,5933,56,2.85,94
Indiana (Big Ten)_2014,12,4,8,4,93,890,5205,48,2.17,61
Iowa (Big Ten)_2014,13,7,6,3,22,847,4475,41,1.69,63
Iowa St. (Big 12)_2014,12,2,10,6,125,972,6347,58,2.5,89
Kansas (Big 12)_2014,12,3,9,12,106,865,5438,47,2.42,115
Kansas St. (Big 12)_2014,13,9,4,6,41,879,4801,39,2.38,47
Kent St. (MAC)_2014,11,2,9,9,88,823,4733,39,1.64,116
Kentucky (SEC)_2014,12,5,7,8,75,888,4883,48,2.83,79
La.-Monroe (Sun Belt)_2014,12,4,8,5,47,844,4479,41,3.67,106
Louisiana (Sun Belt)_2014,13,9,4,10,72,898,5276,43,1.77,54
Louisiana Tech (C-USA)_2014,14,9,5,16,34,1028,5075,41,1.36,62
Louisville (ACC)_2014,13,9,4,4,6,845,4011,31,3.15,69
LSU (SEC)_2014,13,8,5,10,9,845,4119,27,1.92,77
Marshall (C-USA)_2014,14,13,1,9,31,1056,4999,36,1.5,2
Maryland (Big Ten)_2014,13,7,6,13,95,1040,5671,46,2.85,109
Massachusetts (MAC)_2014,12,3,9,5,101,934,5370,51,2.33,48
Memphis (AAC)_2014,13,10,3,14,27,959,4544,32,1.23,46
Miami (FL) (ACC)_2014,13,6,7,13,14,895,4285,40,1.62,44
Miami (OH) (MAC)_2014,12,2,10,11,94,864,5211,50,3.58,85
Michigan (Big Ten)_2014,12,5,7,5,7,783,3736,31,2.17,112
Michigan St. (Big Ten)_2014,13,11,2,16,8,807,4105,36,0.85,11
Middle Tenn. (C-USA)_2014,12,6,6,7,105,927,5427,48,2.17,43
Minnesota (Big Ten)_2014,13,8,5,15,39,882,4786,40,1.62,103
Mississippi St. (SEC)_2014,13,10,3,7,84,977,5517,35,1.77,8
Missouri (SEC)_2014,14,11,3,13,23,1005,4850,36,1.64,95
Navy (FBS Independent)_2014,13,8,5,5,70,901,5250,45,1.62,50
NC State (ACC)_2014,13,8,5,10,46,926,4850,44,2.23,57
Nebraska (Big Ten)_2014,13,9,4,10,52,929,4988,44,1.69,31
New Mexico St. (Sun Belt)_2014,12,2,10,10,113,893,5813,61,0.83,49
North Carolina (ACC)_2014,13,6,7,11,117,991,6472,67,2.15,45
North Texas (C-USA)_2014,12,4,8,10,42,809,4433,48,2.08,114
Northern Ill. (MAC)_2014,14,11,3,10,57,997,5483,45,1,36
Northwestern (Big Ten)_2014,12,5,7,12,53,878,4611,39,2.83,104
Notre Dame (FBS Independent)_2014,13,8,5,7,71,938,5254,49,2.15,32
Ohio (MAC)_2014,12,6,6,7,59,848,4732,38,1.92,91
Ohio St. (Big Ten)_2014,15,14,1,8,19,1032,5136,43,1.87,9
Oklahoma (Big 12)_2014,13,8,5,7,51,968,4974,43,0.69,23
Oklahoma St. (Big 12)_2014,13,7,6,2,91,970,5616,51,3.08,82
Ole Miss ()_2014,13,9,4,10,13,915,4277,24,2.38,51
Oregon (Pac-12)_2014,15,13,2,21,87,1168,6445,43,2.07,3
Oregon St. (Pac-12)_2014,12,5,7,7,74,847,4875,47,3,72
Penn St. (Big Ten)_2014,13,7,6,5,2,849,3623,27,3.38,111
Pittsburgh ()_2014,13,6,7,4,33,837,4677,45,1.62,40
Purdue (Big Ten)_2014,12,3,9,9,80,894,4992,48,2,108
Rice (C-USA)_2014,13,8,5,11,54,874,5017,48,2.15,65
Rutgers (Big Ten)_2014,13,8,5,11,98,901,5756,51,1.46,73
SMU (AAC)_2014,12,1,11,10,119,905,5993,63,4,124
South Alabama (Sun Belt)_2014,13,6,7,15,65,927,5186,43,2.38,84
South Carolina (SEC)_2014,13,7,6,8,92,904,5625,48,2.08,33
South Fla. (AAC)_2014,12,4,8,14,69,849,4833,41,1.92,118
Southern California (Pac-12)_2014,13,9,4,9,76,1001,5303,42,2.46,29
Southern Miss. (C-USA)_2014,12,3,9,9,104,845,5417,56,3,97
Stanford (Pac-12)_2014,13,8,5,4,3,873,3671,26,1.77,75
Syracuse (ACC)_2014,12,3,9,12,26,838,4190,33,2,113
TCU (Big 12)_2014,13,12,1,14,18,953,4443,28,1.77,5
Temple (AAC)_2014,12,6,6,19,24,876,4165,24,1.75,117
Tennessee (SEC)_2014,13,7,6,8,36,892,4740,41,3.31,90
Texas (Big 12)_2014,13,6,7,7,25,968,4531,39,2.23,110
Texas A&M (SEC)_2014,13,8,5,8,102,992,5860,45,2.08,30
Texas St. (Sun Belt)_2014,12,7,5,6,99,938,5353,42,2.17,24
Texas Tech (Big 12)_2014,12,4,8,9,122,986,6152,63,1.08,10
Toledo (MAC)_2014,13,9,4,4,76,912,5303,51,1.31,15
Troy (Sun Belt)_2014,12,3,9,7,107,854,5448,56,1.92,100
Tulane (AAC)_2014,12,3,9,11,55,824,4654,41,2.08,107
Tulsa (AAC)_2014,12,2,10,7,114,841,5841,62,2.08,56
UAB (C-USA)_2014,12,6,6,10,73,858,4873,49,2.33,42
UCF (AAC)_2014,13,9,4,10,5,869,3881,29,2.15,99
UCLA (Pac-12)_2014,13,10,3,5,63,1002,5181,45,3.15,22
UConn (AAC)_2014,12,2,10,7,49,871,4543,45,2.5,123
Utah (Pac-12)_2014,13,9,4,9,58,957,5115,40,2.38,76
UTEP (C-USA)_2014,13,7,6,10,38,760,4785,49,1,105
UTSA (C-USA)_2014,12,4,8,10,43,848,4436,36,2.42,119
Vanderbilt (SEC)_2014,12,3,9,7,68,844,4825,50,1.75,122
Virginia (ACC)_2014,12,5,7,14,28,825,4238,36,1.33,87
Virginia Tech (ACC)_2014,13,7,6,10,21,868,4469,30,2.62,96
Wake Forest (ACC)_2014,12,3,9,13,40,849,4431,38,4,125
Washington (Pac-12)_2014,14,8,6,16,78,1068,5749,41,2,74
Washington St. (Pac-12)_2014,12,3,9,5,97,859,5307,59,3,7
West Virginia (Big 12)_2014,13,7,6,2,66,957,5192,42,2.38,12
Western Ky. (C-USA)_2014,13,8,5,10,120,996,6629,70,1.46,4
Western Mich. (MAC)_2014,13,8,5,10,45,882,4825,40,1.85,39
Wisconsin (Big Ten)_2014,14,11,3,11,4,839,4117,35,0.93,21
Akron (MAC)_2015,13,8,5,14,15,888,4310,37,1.23,104
Alabama (SEC)_2015,15,14,1,8,3,963,4145,26,1.67,45
Appalachian St. (Sun Belt)_2015,13,11,2,6,11,871,4088,29,0.85,26
Arizona (Pac-12)_2015,13,7,6,5,114,1024,6069,60,2.38,16
Arizona St. (Pac-12)_2015,13,6,7,6,112,967,6029,55,3,24
Arkansas (SEC)_2015,13,8,5,7,58,839,5091,44,1.08,29
Arkansas St. (Sun Belt)_2015,13,9,4,8,88,947,5450,52,1.92,37
Army West Point (FBS Independent)_2015,12,2,10,5,47,742,4507,40,1.25,108
Auburn (SEC)_2015,13,7,6,5,71,981,5267,39,1.46,94
Ball St. (MAC)_2015,12,3,9,9,121,920,6216,56,0.92,90
Baylor (Big 12)_2015,13,10,3,12,62,994,5155,49,1.15,1
Boston College (ACC)_2015,12,3,9,10,1,750,3052,19,2.33,125
